id,name,property
292,Форм-фактор,моноблок
293,Кількість SIM-карт,1 SIM + e-sim
294,Формат SIM-карти,"e-sim , Nano"
295,Покоління зв'язку (2G /3G/4G/5G),"2G , 3G , 4G , 5G"
296,Тип дисплея,OLED
297,Діагональ екрану,"6.1'"""
298,Роздільна здатність екрану,1179 х 2556
299,Частота оновлення екрану,60 Гц
300,Процесор,Apple A16 Bionic
301,Кількість ядер,6 core
302,Вбудована пам'ять,128 Gb
303,Кількість модулів основної камери,2
304,Основна камера,48 + 12 Mpx
305,Діафрагма основної камери,f/1.6 + f/2.4
306,Метод стабілізації,оптична
307,Запис відео основної камери,4K / 3840x2160 / стереозвук
308,Кількість модулів фронтальної камери,1
309,Фронтальна камера,12 Mpx
310,Діафрагма фронтальної камери,f/1.9
311,Функції камери,"панорама , розпізнавання обличчя , геотегінг , спалах , автофокус"
312,Операційна система,iOS 17
313,Мультимедіа,"FM-радіо , мобільні сервіси Google , соціальні мережі , відеоплеєр , музичний плеєр , ігри"
314,Органайзер,"калькулятор , телефонна книга , диктофон , секундомір , нотатки , будильник , світовий час , годинник , календар"
315,Бездротові підключення,"Bluetooth , WI-FI , NFC"
316,Навігація,"BeiDou , Galileo , QZSS , iBeacon , GPS , A-GPS"
317,Інтерфейси і підключення,USB Type-C
318,Особливості,IP68 certified
319,Вбудовані датчики,"датчик освітлення , компас , акселерометр , датчик наближення , гіроскоп , барометр"
320,Безпека,FaceID
321,Оснащення,"пило/вологозахист , гіроскоп , бездротове заряджання"
322,Розміри (мм),147.6 x 71.6 x 7.80 мм
323,Вага,171 г
324,Колір,чорний
325,Особливості корпусу,водонепроникні
326,Виробник,Apple
327,Модель,iPhone 15 128GB Black
328,Артикул,MTP03
329,"Гарантія, міс",12
330,Штрихкод,1.96E+11
331,Примітка,"Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження"
332,Всі характеристики,Приховати
